t,x,y,z
0.0625,-0.741303,-0.51072,-0.53187
0.0625,-0.715323,-0.486073,-0.550375
0.0625,-0.615759,-0.455147,-0.597691
0.0625,-0.57301,-0.457447,-0.611967
0.0625,-0.615743,-0.517747,-0.52913
0.0625,-0.676002,-0.533052,-0.53318
0.125,-0.71718,-0.51872,-0.559365
0.125,-0.717907,-0.474954,-0.554357
0.125,-0.687661,-0.471253,-0.644872
0.125,-0.599326,-0.438151,-0.597359
0.125,-0.595564,-0.505123,-0.591526
0.125,-0.611459,-0.543017,-0.553645
0.1875,-0.630781,-0.51996,-0.545588
0.1875,-0.672004,-0.50416,-0.602853
0.1875,-0.689864,-0.476083,-0.631968
0.1875,-0.638075,-0.441468,-0.606958
0.1875,-0.616863,-0.477151,-0.657914
0.1875,-0.591571,-0.525189,-0.561667
0.1875,-0.582748,-0.52959,-0.556762
0.25,-0.612376,-0.528201,-0.62905
0.25,-0.632418,-0.479255,-0.602933
0.25,-0.648605,-0.4674,-0.660375
0.25,-0.627999,-0.4559,-0.647245
0.25,-0.609922,-0.503167,-0.614513
0.25,-0.577764,-0.525175,-0.612589
0.3125,-0.564445,-0.523638,-0.615957
0.3125,-0.577647,-0.501897,-0.609122
0.3125,-0.618605,-0.487792,-0.662356
0.3125,-0.621278,-0.465331,-0.65198
0.3125,-0.616509,-0.479965,-0.674025
0.3125,-0.579738,-0.503626,-0.618053
0.375,-0.553522,-0.517676,-0.6448
0.375,-0.544228,-0.520267,-0.632382
0.375,-0.566468,-0.498794,-0.656186
0.375,-0.591942,-0.488209,-0.6759
0.375,-0.592385,-0.462959,-0.645611
0.375,-0.592754,-0.498662,-0.682089
0.4375,-0.556207,-0.505048,-0.665484
0.4375,-0.527927,-0.51393,-0.653075
0.4375,-0.525543,-0.508007,-0.66491
0.4375,-0.543218,-0.501412,-0.668556
0.4375,-0.559416,-0.478182,-0.672855
0.4375,-0.578093,-0.49395,-0.729566
0.5,-0.547436,-0.485888,-0.64229
0.5,-0.534582,-0.507176,-0.685346
0.5,-0.519728,-0.520124,-0.683444
0.5,-0.514309,-0.502621,-0.670028
0.5,-0.516706,-0.489762,-0.70398
0.5,-0.530936,-0.479889,-0.700549
0.5,-0.539707,-0.498177,-0.694209
0.5625,-0.532045,-0.498982,-0.712341
0.5625,-0.514849,-0.510497,-0.691824
0.5625,-0.497247,-0.500785,-0.679391
0.5625,-0.495028,-0.50234,-0.718116
0.5625,-0.494321,-0.481377,-0.700798
0.5625,-0.506991,-0.49261,-0.726833
0.625,-0.506998,-0.491325,-0.708569
0.625,-0.509677,-0.503704,-0.722556
0.625,-0.491909,-0.504629,-0.693028
0.625,-0.490018,-0.503279,-0.741265
0.625,-0.476204,-0.492199,-0.719801
0.625,-0.474766,-0.480147,-0.706633
0.6875,-0.486034,-0.492898,-0.746393
0.6875,-0.489591,-0.490546,-0.716469
0.6875,-0.487907,-0.502671,-0.735694
0.6875,-0.479017,-0.499783,-0.754359
0.6875,-0.456472,-0.490576,-0.707542
0.6875,-0.456437,-0.479593,-0.753602
0.75,-0.46065,-0.491922,-0.746767
0.75,-0.461869,-0.477502,-0.712798
0.75,-0.472597,-0.490562,-0.765468
0.75,-0.475149,-0.500742,-0.759649
0.75,-0.459865,-0.499206,-0.728421
0.75,-0.437534,-0.47538,-0.754012
0.8125,-0.42904,-0.468259,-0.750123
0.8125,-0.436106,-0.478219,-0.766662
0.8125,-0.449051,-0.493384,-0.778316
0.8125,-0.451372,-0.499702,-0.709757
0.8125,-0.465355,-0.508848,-0.807334
0.8125,-0.434295,-0.472433,-0.718253
0.8125,-0.421453,-0.443463,-0.798433
0.875,-0.411636,-0.472436,-0.786667
0.875,-0.410402,-0.479429,-0.741328
0.875,-0.421391,-0.50238,-0.795123
0.875,-0.430584,-0.493291,-0.745361
0.875,-0.437489,-0.489071,-0.788013
0.875,-0.418765,-0.446977,-0.789239
0.9375,-0.397637,-0.451864,-0.778168
0.9375,-0.393485,-0.475486,-0.786868
0.9375,-0.394483,-0.491077,-0.763095
0.9375,-0.407325,-0.504265,-0.780372
0.9375,-0.415182,-0.486147,-0.803003
0.9375,-0.399178,-0.449003,-0.770406
1,-0.394617,-0.437869,-0.815924
1,-0.388381,-0.477589,-0.790643
1,-0.383443,-0.486409,-0.763023
1,-0.387236,-0.50081,-0.808255
1,-0.390446,-0.479518,-0.767316
1,-0.388663,-0.457799,-0.811298
1.0625,-0.384221,-0.437997,-0.820014
1.0625,-0.380448,-0.466256,-0.808601
1.0625,-0.368388,-0.47651,-0.780572
1.0625,-0.368124,-0.485918,-0.812188
1.0625,-0.371154,-0.479914,-0.767382
1.0625,-0.382146,-0.461803,-0.827829
1.125,-0.37628,-0.443837,-0.830825
1.125,-0.372572,-0.445309,-0.80106
1.125,-0.366168,-0.475908,-0.815662
1.125,-0.357325,-0.479606,-0.818205
1.125,-0.342744,-0.467327,-0.797285
1.125,-0.344859,-0.437622,-0.824557
1.125,-0.357383,-0.449866,-0.82651
1.1875,-0.366107,-0.45583,-0.81106
1.1875,-0.363364,-0.471339,-0.848544
1.1875,-0.348595,-0.46993,-0.791798
1.1875,-0.320024,-0.426909,-0.755898
1.1875,-0.339061,-0.480379,-1.05907
1.1875,-0.308918,-0.458048,-0.770379
1.25,-0.302904,-0.450489,-0.472938
1.25,-0.382974,-0.476768,-1.29416
1.25,-0.317675,-0.453733,-0.832418
1.25,-0.315857,-0.34778,-0.39607
1.25,-0.296794,-0.508415,-1.2617
1.25,-0.311108,-0.361735,-0.542406
1.3125,-0.307348,-0.452071,-1.02319
1.3125,-0.387613,-0.390581,-0.754275
1.3125,-0.318031,-0.605256,-0.878372
1.3125,-0.393139,-0.228286,-0.996175
1.3125,-0.229904,-0.548348,-0.801085
1.3125,-0.295571,-0.355514,-0.552733
1.375,-0.22922,-0.386005,-1.16532
1.375,-0.309524,-0.277239,-0.769338
1.375,-0.360616,-0.575526,-0.736431
1.375,-0.401658,-0.399711,-1.07173
1.375,-0.335933,-0.403823,-0.821513
1.375,-0.303071,-0.424111,-0.777786
1.375,-0.26034,-0.369305,-1.03609
1.4375,-0.223934,-0.336766,-0.696209
1.4375,-0.278047,-0.409903,-0.910801
1.4375,-0.340399,-0.475904,-0.926919
1.4375,-0.34752,-0.423003,-0.779235
1.4375,-0.360888,-0.370011,-0.984566
1.4375,-0.308057,-0.405357,-0.845369
1.5,-0.255612,-0.32653,-0.859942
1.5,-0.234031,-0.364067,-0.913805
1.5,-0.264893,-0.459817,-0.805608
1.5,-0.301495,-0.442635,-0.900288
1.5,-0.320135,-0.373068,-0.882884
1.5,-0.319046,-0.373693,-0.863874
1.5625,-0.289383,-0.353579,-0.909897
1.5625,-0.248873,-0.349513,-0.874955
1.5625,-0.242296,-0.409938,-0.862729
1.5625,-0.254142,-0.445615,-0.85244
1.5625,-0.28326,-0.388284,-0.894084
1.5625,-0.303968,-0.359847,-0.886124
1.625,-0.296429,-0.356254,-0.886328
1.625,-0.264522,-0.348179,-0.902244
1.625,-0.237867,-0.390668,-0.884495
1.625,-0.234631,-0.43409,-0.863491
1.625,-0.241815,-0.41046,-0.900651
1.625,-0.261892,-0.349854,-0.883885
1.6875,-0.27927,-0.341318,-0.893709
1.6875,-0.281214,-0.345616,-0.927564
1.6875,-0.256547,-0.374913,-0.899416
1.6875,-0.231669,-0.413417,-0.889484
1.6875,-0.219052,-0.408352,-0.893987
1.6875,-0.227408,-0.365697,-0.884711
1.6875,-0.247935,-0.337959,-0.919712
1.75,-0.263092,-0.337187,-0.915994
1.75,-0.255449,-0.363722,-0.901395
1.75,-0.244738,-0.387112,-0.918366
1.75,-0.220143,-0.40976,-0.884781
1.75,-0.214915,-0.36335,-0.905459
1.75,-0.213755,-0.330457,-0.904874
1.8125,-0.236279,-0.330261,-0.88313
1.8125,-0.250695,-0.353509,-0.930306
1.8125,-0.248466,-0.380484,-0.931924
1.8125,-0.230026,-0.393876,-0.880881
1.8125,-0.20975,-0.360671,-0.927651
1.8125,-0.196102,-0.336326,-0.883635
1.875,-0.208171,-0.320428,-0.886894
1.875,-0.22617,-0.334706,-0.932964
1.875,-0.238959,-0.370356,-0.907892
1.875,-0.240549,-0.384863,-0.90713
1.875,-0.224976,-0.367737,-0.920268
1.875,-0.206331,-0.342699,-0.917082
1.9375,-0.190667,-0.321061,-0.901857
1.9375,-0.189483,-0.326018,-0.898929
1.9375,-0.210297,-0.357951,-0.90558
1.9375,-0.227899,-0.376658,-0.92653
1.9375,-0.235529,-0.364428,-0.93128
1.9375,-0.221249,-0.346755,-0.917384
2,-0.201649,-0.325944,-0.918182
2,-0.185287,-0.324415,-0.909929
2,-0.187033,-0.339174,-0.925719
2,-0.196569,-0.361384,-0.909989
2,-0.210608,-0.356274,-0.927599
2,-0.216234,-0.340792,-0.929644
2,-0.206716,-0.33032,-0.923422
2.0625,-0.192936,-0.316933,-0.931103
2.0625,-0.180368,-0.332291,-0.918046
2.0625,-0.17833,-0.34857,-0.91584
2.0625,-0.187308,-0.346657,-0.942596
2.0625,-0.195693,-0.336815,-0.917828
2.0625,-0.196811,-0.319468,-0.953464
2.125,-0.188512,-0.316097,-0.918822
2.125,-0.17304,-0.330306,-0.920264
2.125,-0.166665,-0.335142,-0.932753
2.125,-0.169155,-0.342766,-0.916088
2.125,-0.17914,-0.32831,-0.941545
